SYSTEM:Time(s)	SubMechanism.ibFlap/Flap:roll(deg)	SubMechanism.ibFlap/Flap:x(mm)	SubMechanism.ibFlap/Flap:y(mm)	SubMechanism.ibFlap/Flap:z(mm)
0.299	-0.567	24534.977	-3853.56	3190.263	
0.3	-0.567	24534.979	-3853.56	3190.263	
0.301	-0.567	24534.981	-3853.559	3190.263	
0.302	-0.567	24534.983	-3853.559	3190.262	
0.303	-0.567	24534.985	-3853.559	3190.262	
0.304	-0.566	24534.986	-3853.559	3190.262	
0.305	-0.566	24534.988	-3853.559	3190.261	
0.306	-0.566	24534.99	-3853.558	3190.261	
0.307	-0.566	24534.992	-3853.558	3190.261	
0.308	-0.566	24534.996	-3853.558	3190.26	
0.309	-0.566	24534.998	-3853.557	3190.26	
0.31	-0.566	24535	-3853.557	3190.259	
0.311	-0.566	24535.002	-3853.557	3190.259	
0.312	-0.566	24535.004	-3853.557	3190.259	
0.313	-0.566	24535.006	-3853.556	3190.259	
0.314	-0.565	24535.007	-3853.556	3190.258	
0.315	-0.565	24535.009	-3853.556	3190.258	
0.316	-0.565	24535.013	-3853.556	3190.258	
0.317	-0.565	24535.015	-3853.555	3190.257	
0.318	-0.565	24535.017	-3853.555	3190.257	
0.319	-0.565	24535.019	-3853.555	3190.256	
0.32	-0.565	24535.021	-3853.555	3190.256	
0.321	-0.565	24535.023	-3853.554	3190.256	
0.322	-0.565	24535.025	-3853.554	3190.255	
0.323	-0.565	24535.028	-3853.554	3190.255	
0.324	-0.564	24535.03	-3853.554	3190.255	
0.325	-0.564	24535.032	-3853.553	3190.254	
0.326	-0.564	24535.034	-3853.553	3190.254	
0.327	-0.564	24535.036	-3853.553	3190.253	
0.328	-0.564	24535.038	-3853.553	3190.253	
0.329	-0.564	24535.042	-3853.552	3190.253	
0.33	-0.564	24535.044	-3853.552	3190.253	
0.331	-0.564	24535.046	-3853.552	3190.252	
0.332	-0.564	24535.048	-3853.551	3190.252	
0.333	-0.563	24535.049	-3853.551	3190.251	
0.334	-0.563	24535.053	-3853.551	3190.251	
0.335	-0.563	24535.055	-3853.55	3190.251	
0.336	-0.563	24535.057	-3853.55	3190.25	
0.337	-0.563	24535.059	-3853.55	3190.25	
0.338	-0.563	24535.061	-3853.55	3190.249	
0.339	-0.563	24535.065	-3853.549	3190.249	
0.34	-0.563	24535.067	-3853.549	3190.249	
0.341	-0.563	24535.069	-3853.549	3190.248	
0.342	-0.563	24535.07	-3853.549	3190.248	
0.343	-0.562	24535.074	-3853.548	3190.248	
0.344	-0.562	24535.076	-3853.548	3190.247	
0.345	-0.562	24535.078	-3853.548	3190.247	
0.346	-0.562	24535.08	-3853.547	3190.246	
0.347	-0.562	24535.084	-3853.547	3190.246	
0.348	-0.562	24535.086	-3853.547	3190.246	
0.349	-0.562	24535.088	-3853.546	3190.245	
0.35	-0.562	24535.089	-3853.546	3190.245	
0.351	-0.562	24535.093	-3853.546	3190.244	
0.352	-0.561	24535.095	-3853.545	3190.244	
0.353	-0.561	24535.097	-3853.545	3190.243	
0.354	-0.561	24535.099	-3853.545	3190.243	
0.355	-0.561	24535.103	-3853.545	3190.243	
0.356	-0.561	24535.105	-3853.544	3190.242	
0.357	-0.561	24535.107	-3853.544	3190.242	
0.358	-0.561	24535.109	-3853.544	3190.242	
0.359	-0.561	24535.112	-3853.543	3190.241	
0.36	-0.561	24535.114	-3853.543	3190.241	
0.361	-0.56	24535.116	-3853.543	3190.24	
0.362	-0.56	24535.12	-3853.543	3190.24	
0.363	-0.56	24535.122	-3853.542	3190.239	
0.364	-0.56	24535.124	-3853.542	3190.239	
0.365	-0.56	24535.128	-3853.542	3190.239	
0.366	-0.56	24535.13	-3853.541	3190.238	
0.367	-0.56	24535.131	-3853.541	3190.238	
0.368	-0.56	24535.135	-3853.541	3190.238	
0.369	-0.56	24535.137	-3853.54	3190.237	
0.37	-0.559	24535.139	-3853.54	3190.237	
0.371	-0.559	24535.143	-3853.539	3190.236	
0.372	-0.559	24535.145	-3853.539	3190.236	
0.373	-0.559	24535.147	-3853.539	3190.235	
0.374	-0.559	24535.151	-3853.539	3190.235	
0.375	-0.559	24535.152	-3853.538	3190.234	
0.376	-0.559	24535.154	-3853.538	3190.234	
0.377	-0.559	24535.158	-3853.538	3190.233	
0.378	-0.558	24535.16	-3853.537	3190.233	
0.379	-0.558	24535.162	-3853.537	3190.233	
0.38	-0.558	24535.166	-3853.537	3190.232	
0.381	-0.558	24535.168	-3853.536	3190.232	
0.382	-0.558	24535.17	-3853.536	3190.231	
0.383	-0.558	24535.173	-3853.536	3190.231	
0.384	-0.558	24535.175	-3853.535	3190.231	
0.385	-0.558	24535.179	-3853.535	3190.23	
0.386	-0.558	24535.181	-3853.535	3190.23	
0.387	-0.557	24535.183	-3853.534	3190.229	
0.388	-0.557	24535.187	-3853.534	3190.229	
